year,ready_reckoner_value,registration_date,purchaser_age,purchaser_pincode,final_area_sqft,purchaser_micromarket,developer_name,micromarket,project_pincode,primary_or_secondary,floor,rera_project_status,completion_date
,"2,07,59,960",28-11-2023,,,660,,,,,,,,
,"54,91,245",01-04-2019,,,945,,,,,,,,
,"1,59,65,548",10-03-2025,,,529,,,,,,,,
,"1,97,21,483",04-02-2020,,,916,,,,,,,,
,"48,21,285",20-04-2023,,,490,,,,,,,,
,"1,02,53,590",16-03-2020,,,460,,,,,,,,
,"62,34,909",05-09-2023,,,395,,,,,,,,
,"1,38,66,966",02-01-2020,,,352,,,,,,,,
,"1,49,53,622",25-04-2024,,,650,,,,,,,,
,"77,72,171",25-04-2022,,,703,,,,,,,,
,"1,16,27,680",29-04-2022,,,861,,,,,,,,
,"49,60,166",30-03-2024,,,596,,,,,,,,
,"3,13,89,153",30-01-2023,,,873,,,,,,,,
,"1,90,62,642",05-05-2021,,,"1,094",,,,,,,,
,"47,26,586",14-07-2022,,,783,,,,,,,,
,"1,33,15,346",09-09-2020,,,605,,,,,,,,
,"86,03,530",04-08-2024,,,748,,,,,,,,
,"48,77,696",17-09-2019,,,470,,,,,,,,
,"1,56,11,253",22-06-2023,,,780,,,,,,,,
,"75,62,943",16-12-2020,,,625,,,,,,,,
,"80,84,608",09-10-2020,,,573,,,,,,,,
,"54,79,043",11-08-2024,,,563,,,,,,,,
,"1,17,33,120",19-06-2019,,,553,,,,,,,,
,"33,72,000",08-06-2020,,,490,,,,,,,,
,"2,39,17,659",29-06-2022,,,802,,,,,,,,
,"1,17,05,564",22-02-2021,,,935,,,,,,,,
,"1,99,23,317",15-02-2020,,,469,,,,,,,,
,"1,54,73,379",09-03-2024,,,522,,,,,,,,
,"75,34,304",26-02-2020,,,668,,,,,,,,
,"1,18,67,704",17-02-2020,,,594,,,,,,,,
,"1,23,17,344",20-12-2023,,,557,,,,,,,,
,"49,39,616",11-06-2019,,,762,,,,,,,,
,"1,88,52,720",07-10-2020,,,581,,,,,,,,
,"78,06,878",10-05-2019,,,126,,,,,,,,
,"1,75,72,000",31-01-2020,,,586,,,,,,,,
,"1,21,73,932",02-02-2019,,,560,,,,,,,,
,"1,59,69,151",01-01-2025,,,920,,,,,,,,
,"1,94,80,293",02-03-2019,,,747,,,,,,,,
,"1,13,65,462",01-12-2021,,,682,,,,,,,,
,"31,32,129",27-07-2022,,,669,,,,,,,,
,"84,15,828",11-02-2021,,,"1,600",,,,,,,,
,"85,44,390",09-03-2020,,,408,,,,,,,,
,"2,21,61,112",30-08-2019,,,616,,,,,,,,
,"1,04,01,353",30-03-2023,,,330,,,,,,,,
,"71,19,963",24-08-2022,,,590,,,,,,,,
,"68,39,847",22-05-2024,,,432,,,,,,,,
,"1,97,41,687",21-03-2023,,,"1,251",,,,,,,,
,"2,00,69,968",14-09-2021,,,710,,,,,,,,
,"81,86,746",22-08-2023,,,340,,,,,,,,
,"73,96,563",29-03-2024,,,397,,,,,,,,
,"1,65,16,717",12-12-2022,,,165,,,,,,,,
,"75,84,733",11-07-2023,,,"1,212",,,,,,,,
,"62,17,063",08-02-2021,,,583,,,,,,,,
,"86,39,629",14-06-2023,,,605,,,,,,,,
,"64,63,381",06-01-2024,,,220,,,,,,,,
,"46,03,988",21-12-2022,,,700,,,,,,,,
,"1,15,06,942",12-01-2022,,,637,,,,,,,,
,"65,29,656",22-04-2022,,,471,,,,,,,,
,"1,53,61,219",24-02-2020,,,581,,,,,,,,
,"33,27,712",25-09-2020,,,233,,,,,,,,
,"40,16,580",26-09-2024,,,662,,,,,,,,
,"80,12,542",06-01-2022,,,341,,,,,,,,
,"74,04,559",10-12-2023,,,566,,,,,,,,
,"88,20,692",20-05-2021,,,456,,,,,,,,
,"57,76,278",01-09-2020,,,834,,,,,,,,
,"2,09,11,243",23-01-2025,,,496,,,,,,,,
,"90,22,104",20-11-2019,,,633,,,,,,,,
,"73,05,150",14-10-2019,,,839,,,,,,,,
,"99,98,677",20-06-2023,,,475,,,,,,,,
,"44,24,745",06-10-2024,,,831,,,,,,,,
,"2,09,77,717",21-09-2022,,,562,,,,,,,,
,"2,14,83,000",16-06-2024,,,375,,,,,,,,
,"75,56,161",13-09-2023,,,807,,,,,,,,
,"1,66,94,234",22-02-2025,,,689,,,,,,,,
,"1,15,97,244",02-01-2019,,,"1,090",,,,,,,,
,"1,38,10,395",24-09-2020,,,978,,,,,,,,
,"1,29,60,811",22-06-2020,,,781,,,,,,,,
,"73,53,428",19-04-2022,,,"1,657",,,,,,,,
,"1,24,47,735",08-09-2024,,,817,,,,,,,,
,"72,99,205",30-07-2023,,,804,,,,,,,,
,"31,30,881",16-02-2019,,,552,,,,,,,,
,"67,71,935",07-01-2025,,,412,,,,,,,,
,"75,83,896",17-08-2022,,,595,,,,,,,,
,"1,20,67,016",18-11-2021,,,532,,,,,,,,
,"1,09,53,143",23-03-2025,,,775,,,,,,,,
,"57,85,570",23-07-2019,,,947,,,,,,,,
,"87,06,429",06-05-2024,,,358,,,,,,,,
,"1,56,84,652",21-09-2024,,,896,,,,,,,,
,"60,61,500",18-11-2020,,,248,,,,,,,,
,"64,94,161",16-12-2022,,,713,,,,,,,,
,"78,05,203",07-11-2023,,,557,,,,,,,,
,"37,56,056",10-07-2024,,,520,,,,,,,,
,"1,04,31,736",28-12-2024,,,570,,,,,,,,
,"1,47,98,886",31-05-2019,,,864,,,,,,,,
,"1,26,06,962",27-04-2022,,,472,,,,,,,,
,"83,40,205",05-06-2020,,,458,,,,,,,,
,"1,16,30,458",19-08-2020,,,"1,073",,,,,,,,
,"1,75,11,795",14-10-2024,,,"1,168",,,,,,,,
,"77,47,616",17-07-2019,,,808,,,,,,,,
,"1,05,36,674",10-01-2022,,,448,,,,,,,,
,"1,37,16,056",09-02-2021,,,236,,,,,,,,
,"1,70,99,331",25-10-2022,,,387,,,,,,,,
,"67,74,252",27-08-2020,,,293,,,,,,,,
,"66,46,152",15-06-2021,,,"1,260",,,,,,,,
,"1,97,45,433",10-01-2025,,,813,,,,,,,,
,"1,39,00,234",01-03-2025,,,491,,,,,,,,
,"82,76,100",02-06-2024,,,684,,,,,,,,
,"1,12,42,467",08-06-2021,,,545,,,,,,,,
,"53,71,944",05-07-2019,,,392,,,,,,,,
,"1,79,18,230",13-12-2019,,,721,,,,,,,,
,"1,20,80,083",21-05-2019,,,895,,,,,,,,
,"1,28,65,641",30-09-2019,,,421,,,,,,,,
,"1,16,66,533",22-09-2021,,,911,,,,,,,,
,"54,36,018",04-01-2019,,,"1,626",,,,,,,,
,"1,41,76,313",22-05-2019,,,746,,,,,,,,
,"88,08,811",26-03-2024,,,316,,,,,,,,
,"1,85,22,019",18-12-2019,,,892,,,,,,,,
,"1,19,68,685",29-12-2022,,,258,,,,,,,,
,"81,73,775",01-08-2024,,,336,,,,,,,,
,"1,14,26,132",11-08-2021,,,264,,,,,,,,
,"1,17,46,399",26-02-2019,,,773,,,,,,,,
,"1,14,22,134",07-04-2024,,,"1,134",,,,,,,,
,"1,24,24,023",09-11-2021,,,406,,,,,,,,
,"80,62,740",04-11-2024,,,452,,,,,,,,
,"1,16,51,188",25-09-2019,,,801,,,,,,,,
,"1,09,36,770",23-11-2020,,,403,,,,,,,,
,"35,12,780",15-02-2022,,,563,,,,,,,,
,"1,49,00,103",31-10-2019,,,637,,,,,,,,
,"70,84,804",01-07-2019,,,535,,,,,,,,
,"2,14,80,632",02-12-2020,,,306,,,,,,,,
,"1,34,74,590",23-09-2021,,,"1,140",,,,,,,,
,"2,45,13,858",04-12-2024,,,348,,,,,,,,
,"1,30,97,904",09-05-2022,,,859,,,,,,,,
,"1,25,13,803",15-06-2020,,,582,,,,,,,,
,"59,11,804",10-02-2024,,,585,,,,,,,,
,"65,45,310",07-01-2020,,,466,,,,,,,,
,"1,44,22,248",07-03-2019,,,508,,,,,,,,
,"1,35,56,057",11-01-2025,,,428,,,,,,,,
,"62,52,845",17-05-2021,,,489,,,,,,,,
,"56,35,778",07-05-2021,,,227,,,,,,,,
,"1,11,46,638",24-06-2020,,,"1,362",,,,,,,,
,"1,26,70,553",01-04-2025,,,530,,,,,,,,
,"1,66,63,408",23-12-2021,,,"1,633",,,,,,,,
,"1,63,26,753",13-04-2024,,,"1,068",,,,,,,,
,"1,52,46,469",16-09-2022,,,224,,,,,,,,
,"41,34,745",02-08-2021,,,585,,,,,,,,
,"83,05,694",17-11-2021,,,884,,,,,,,,
,"2,88,71,769",11-08-2022,,,813,,,,,,,,
,"62,21,413",27-01-2024,,,725,,,,,,,,
,"52,58,426",07-07-2020,,,176,,,,,,,,
,"1,99,46,317",11-10-2023,,,858,,,,,,,,
,"1,10,70,787",17-06-2019,,,262,,,,,,,,
,"1,05,79,136",05-04-2021,,,340,,,,,,,,
,"48,44,430",09-01-2023,,,631,,,,,,,,
,"1,14,02,813",17-05-2019,,,672,,,,,,,,
,"1,69,01,524",03-01-2024,,,808,,,,,,,,
,"1,29,16,242",09-10-2023,,,238,,,,,,,,
,"73,01,533",27-11-2024,,,866,,,,,,,,
,"1,59,55,597",04-08-2021,,,501,,,,,,,,
,"69,76,382",13-11-2023,,,568,,,,,,,,
,"2,36,68,731",08-11-2021,,,"1,140",,,,,,,,
,"1,44,75,182",01-01-2021,,,363,,,,,,,,
,"54,51,389",04-03-2020,,,656,,,,,,,,
,"78,40,842",06-02-2019,,,988,,,,,,,,
,"1,35,49,600",09-01-2019,,,818,,,,,,,,
,"1,55,94,525",30-07-2019,,,744,,,,,,,,
,"1,55,93,473",10-10-2019,,,820,,,,,,,,
,"1,62,94,989",18-06-2020,,,260,,,,,,,,
,"1,28,74,170",09-02-2024,,,"1,651",,,,,,,,
,"1,38,58,898",03-02-2020,,,673,,,,,,,,
,"65,75,818",17-09-2020,,,357,,,,,,,,
,"1,80,04,114",21-07-2024,,,450,,,,,,,,
,"73,50,473",30-06-2020,,,494,,,,,,,,
,"42,86,834",28-12-2023,,,231,,,,,,,,
,"1,30,35,486",12-01-2023,,,342,,,,,,,,
,"1,95,21,909",28-08-2020,,,"1,165",,,,,,,,
,"68,18,977",11-12-2023,,,"1,190",,,,,,,,
,"1,89,88,098",18-02-2019,,,678,,,,,,,,
,"61,10,826",08-07-2020,,,591,,,,,,,,
,"86,46,234",02-02-2025,,,638,,,,,,,,
,"2,22,80,800",22-09-2022,,,747,,,,,,,,
,"48,92,884",26-08-2020,,,448,,,,,,,,
,"3,22,25,769",08-01-2019,,,"1,131",,,,,,,,
,"72,66,264",25-06-2023,,,"2,396",,,,,,,,
,"60,65,092",04-05-2021,,,"1,091",,,,,,,,
,"54,74,192",08-06-2022,,,780,,,,,,,,
,"87,31,276",01-02-2024,,,475,,,,,,,,
,"72,30,130",17-08-2020,,,688,,,,,,,,
,"1,95,98,775",04-04-2019,,,559,,,,,,,,
,"64,71,315",09-07-2020,,,"1,681",,,,,,,,
,"1,90,55,647",13-06-2022,,,"1,203",,,,,,,,
,"58,44,976",02-11-2019,,,502,,,,,,,,
,"70,76,654",13-12-2018,,,890,,,,,,,,
,"1,11,58,938",08-03-2025,,,299,,,,,,,,
,"2,61,26,043",01-11-2022,,,765,,,,,,,,
,"51,02,008",21-09-2019,,,372,,,,,,,,
,"50,51,031",21-12-2021,,,520,,,,,,,,
,"65,51,906",24-08-2024,,,700,,,,,,,,
,"61,97,184",27-02-2019,,,410,,,,,,,,
,"70,60,067",09-11-2024,,,429,,,,,,,,
,"1,90,30,497",04-11-2019,,,684,,,,,,,,
,"2,16,30,178",07-11-2019,,,617,,,,,,,,
,"76,81,420",01-02-2023,,,238,,,,,,,,
,"1,31,05,610",15-09-2020,,,228,,,,,,,,
,"2,13,91,377",27-07-2020,,,"1,196",,,,,,,,
,"1,29,88,290",29-12-2020,,,490,,,,,,,,
,"82,02,099",02-12-2019,,,652,,,,,,,,
,"90,50,232",26-08-2023,,,373,,,,,,,,
,"4,57,63,872",02-07-2023,,,504,,,,,,,,
,"1,32,87,567",02-09-2023,,,222,,,,,,,,
,"61,98,366",11-02-2019,,,886,,,,,,,,
,"81,46,652",21-05-2023,,,425,,,,,,,,
,"30,29,693",06-07-2020,,,486,,,,,,,,
,"66,96,683",16-09-2023,,,494,,,,,,,,
,"1,97,55,186",11-11-2019,,,674,,,,,,,,
,"74,62,270",28-10-2020,,,482,,,,,,,,
,"1,23,68,022",10-01-2019,,,620,,,,,,,,
,"1,12,70,996",14-09-2024,,,562,,,,,,,,
,"85,96,620",31-08-2020,,,898,,,,,,,,
,"1,57,19,366",28-04-2024,,,519,,,,,,,,
,"81,76,006",18-11-2023,,,577,,,,,,,,
,"1,42,99,449",15-09-2022,,,528,,,,,,,,
,"70,22,111",24-09-2019,,,712,,,,,,,,
,"76,54,059",21-02-2019,,,"1,015",,,,,,,,
,"89,29,129",08-01-2024,,,343,,,,,,,,
,"1,17,66,019",29-09-2021,,,"1,008",,,,,,,,
,"73,66,802",31-08-2023,,,"1,000",,,,,,,,
,"1,25,37,363",14-08-2020,,,373,,,,,,,,
,"1,73,08,845",31-12-2019,,,719,,,,,,,,
,"57,65,807",08-05-2023,,,576,,,,,,,,
,"1,82,95,526",08-07-2019,,,417,,,,,,,,
,"1,58,55,969",11-01-2022,,,475,,,,,,,,
,"1,01,67,156",13-08-2023,,,116,,,,,,,,
,"1,14,34,688",03-08-2021,,,"1,591",,,,,,,,
,"54,53,211",13-01-2021,,,437,,,,,,,,
,"72,41,677",15-03-2019,,,387,,,,,,,,
,"1,76,32,705",08-09-2020,,,492,,,,,,,,
,"83,38,961",11-03-2020,,,"1,423",,,,,,,,
,"2,51,50,010",01-06-2020,,,615,,,,,,,,
,"1,44,14,671",20-08-2023,,,792,,,,,,,,
,"77,55,922",25-11-2023,,,412,,,,,,,,
,"78,88,232",25-08-2021,,,561,,,,,,,,
,"4,19,30,998",06-10-2023,,,773,,,,,,,,
,"80,24,555",09-06-2020,,,433,,,,,,,,
,"2,27,83,279",08-07-2023,,,778,,,,,,,,
,"1,92,15,738",03-04-2019,,,175,,,,,,,,
,"1,83,93,874",22-07-2023,,,"1,300",,,,,,,,
,"96,13,002",13-09-2022,,,726,,,,,,,,
,"85,95,000",17-08-2021,,,465,,,,,,,,
,"79,45,005",12-03-2025,,,836,,,,,,,,
,"55,77,474",17-07-2020,,,827,,,,,,,,
,"65,75,688",16-06-2021,,,850,,,,,,,,
,"1,38,70,073",22-07-2020,,,545,,,,,,,,
,"43,47,090",23-06-2020,,,"1,112",,,,,,,,
,"1,76,19,348",01-02-2025,,,399,,,,,,,,
,"70,90,619",15-07-2023,,,"1,370",,,,,,,,
,"60,87,732",19-02-2020,,,398,,,,,,,,
,"63,53,906",11-11-2023,,,"1,295",,,,,,,,
,"59,72,950",02-07-2020,,,814,,,,,,,,
,"50,30,666",03-12-2019,,,760,,,,,,,,
,"90,83,002",11-01-2023,,,790,,,,,,,,
,"51,67,246",09-07-2023,,,646,,,,,,,,
,"47,35,829",04-10-2021,,,571,,,,,,,,
,"90,34,556",18-03-2019,,,574,,,,,,,,
,"80,94,398",13-08-2020,,,793,,,,,,,,
,"76,94,974",18-08-2024,,,670,,,,,,,,
,"2,03,08,792",15-10-2024,,,240,,,,,,,,
,"1,08,67,000",19-08-2023,,,816,,,,,,,,
,"1,17,29,189",04-02-2024,,,"1,092",,,,,,,,
,"57,30,130",01-06-2021,,,"1,196",,,,,,,,
,"1,32,26,218",17-08-2024,,,226,,,,,,,,
,"1,92,24,326",20-08-2020,,,"1,172",,,,,,,,
,"1,59,93,644",05-08-2023,,,525,,,,,,,,
,"1,43,14,876",16-06-2020,,,286,,,,,,,,
,"1,92,16,000",24-09-2023,,,830,,,,,,,,
,"1,34,75,872",28-07-2022,,,477,,,,,,,,
,"1,58,77,862",05-10-2024,,,597,,,,,,,,
,"1,17,06,366",14-01-2019,,,241,,,,,,,,
,"1,56,43,483",31-03-2025,,,462,,,,,,,,
,"1,29,38,182",05-03-2019,,,606,,,,,,,,
,"1,45,51,842",19-03-2024,,,968,,,,,,,,
,"1,55,85,721",24-08-2020,,,469,,,,,,,,
,"1,56,61,981",17-11-2024,,,"1,050",,,,,,,,
,"1,20,59,538",10-06-2020,,,98,,,,,,,,
,"65,76,937",29-12-2024,,,880,,,,,,,,
,"1,63,00,720",04-11-2023,,,397,,,,,,,,
,"2,17,11,156",21-07-2020,,,767,,,,,,,,
,"82,56,984",04-12-2019,,,"1,319",,,,,,,,
,"1,07,06,472",16-07-2023,,,"1,165",,,,,,,,
,"1,10,05,294",15-12-2024,,,730,,,,,,,,
,"1,07,26,430",20-04-2022,,,659,,,,,,,,
,"1,04,74,500",25-09-2024,,,459,,,,,,,,
,"1,49,75,365",29-10-2024,,,613,,,,,,,,
,"2,36,81,610",30-11-2024,,,779,,,,,,,,
,"84,94,820",16-10-2019,,,267,,,,,,,,
,"1,18,09,842",13-05-2024,,,765,,,,,,,,
,"1,64,76,113",09-10-2019,,,445,,,,,,,,
,"70,88,126",,,,"1,185",,,,,,,,
,"37,67,113",,,,660,,,,,,,,
,"92,64,003",,,,397,,,,,,,,
,"58,97,232",,,,771,,,,,,,,
,"1,42,18,679",,,,750,,,,,,,,
,"1,24,05,382",,,,951,,,,,,,,
,"67,43,438",,,,515,,,,,,,,
,"1,13,80,359",,,,475,,,,,,,,
,"2,12,12,711",,,,383,,,,,,,,
,"79,15,237",,,,745,,,,,,,,
,"2,47,08,164",,,,440,,,,,,,,
,"40,01,590",,,,639,,,,,,,,
,"89,99,069",,,,468,,,,,,,,
,"1,29,65,737",,,,"1,623",,,,,,,,
,"2,44,30,807",,,,481,,,,,,,,
,"63,48,876",,,,471,,,,,,,,
,"53,81,735",,,,845,,,,,,,,
,"78,01,574",,,,312,,,,,,,,
,"43,82,000",,,,667,,,,,,,,
,"1,83,26,582",,,,527,,,,,,,,
,"1,92,03,108",,,,764,,,,,,,,
,"1,53,55,937",,,,266,,,,,,,,
,"1,37,34,901",,,,517,,,,,,,,
,"59,20,493",,,,715,,,,,,,,
,"1,35,29,751",,,,889,,,,,,,,
,"62,04,547",,,,496,,,,,,,,
,"1,27,02,610",,,,494,,,,,,,,
,"89,51,185",,,,216,,,,,,,,
,"80,50,838",,,,801,,,,,,,,
,"1,16,69,880",,,,367,,,,,,,,
,"1,24,10,118",,,,507,,,,,,,,
,"49,71,178",,,,850,,,,,,,,
,"67,88,288",,,,455,,,,,,,,
,"90,98,526",,,,714,,,,,,,,
,"1,60,57,374",,,,558,,,,,,,,
,"66,94,562",,,,609,,,,,,,,
,"1,43,96,834",,,,835,,,,,,,,
,"1,29,94,500",,,,407,,,,,,,,
,"65,57,453",,,,585,,,,,,,,
,"2,04,22,728",,,,836,,,,,,,,
,"1,18,94,951",,,,732,,,,,,,,
,"1,98,46,735",,,,396,,,,,,,,
,"1,56,39,560",,,,"1,152",,,,,,,,
,"1,36,88,474",,,,791,,,,,,,,
,"1,01,28,257",,,,264,,,,,,,,
,"1,54,93,674",,,,417,,,,,,,,
,"1,56,89,402",,,,270,,,,,,,,
,"46,07,070",,,,435,,,,,,,,
,"2,38,52,201",,,,488,,,,,,,,
,"1,70,56,363",,,,"1,145",,,,,,,,
,"77,71,743",,,,550,,,,,,,,
,"1,98,78,270",,,,332,,,,,,,,
,"1,02,00,893",,,,"1,308",,,,,,,,
,"72,06,569",,,,753,,,,,,,,
,"2,10,17,916",,,,774,,,,,,,,
,"1,81,30,395",,,,"1,153",,,,,,,,
,"1,61,64,081",,,,566,,,,,,,,
,"1,90,63,763",,,,330,,,,,,,,
,"2,05,64,594",,,,668,,,,,,,,
,"2,53,52,573",,,,423,,,,,,,,
,"55,93,784",,,,553,,,,,,,,
,"47,77,714",,,,320,,,,,,,,
,"83,68,338",,,,839,,,,,,,,
,"1,13,88,450",,,,527,,,,,,,,
,"47,21,976",,,,295,,,,,,,,
,"1,08,95,440",,,,492,,,,,,,,
,"1,79,16,072",,,,563,,,,,,,,
,"1,29,19,437",,,,"1,378",,,,,,,,
,"1,42,93,936",,,,264,,,,,,,,
,"1,14,17,000",,,,"1,523",,,,,,,,
,"1,21,52,174",,,,516,,,,,,,,
,"84,11,377",,,,421,,,,,,,,
,"47,75,526",,,,813,,,,,,,,
,"1,38,59,258",,,,486,,,,,,,,
,"1,14,69,992",,,,358,,,,,,,,
,"1,22,88,623",,,,670,,,,,,,,
,"78,23,376",,,,444,,,,,,,,
,"34,57,121",,,,449,,,,,,,,
,"45,63,488",,,,835,,,,,,,,
,"1,69,13,306",,,,663,,,,,,,,
,"56,68,099",,,,771,,,,,,,,
,"1,23,35,921",,,,489,,,,,,,,
,"64,33,322",,,,"1,719",,,,,,,,
,"74,78,532",,,,390,,,,,,,,
,"1,81,19,131",,,,308,,,,,,,,
,"1,01,82,320",,,,737,,,,,,,,
,"1,75,61,936",,,,500,,,,,,,,
,"1,77,34,722",,,,"1,001",,,,,,,,
,"50,00,709",,,,826,,,,,,,,
,"1,10,67,832",,,,576,,,,,,,,
,"43,31,638",,,,"1,266",,,,,,,,
,"80,05,787",,,,605,,,,,,,,
,"98,88,247",,,,815,,,,,,,,
,"39,98,700",,,,578,,,,,,,,
,"65,22,500",,,,320,,,,,,,,
,"62,02,375",,,,775,,,,,,,,
,"45,61,935",,,,465,,,,,,,,
,"1,40,16,384",,,,296,,,,,,,,
,"91,44,097",,,,387,,,,,,,,
,"1,76,09,750",,,,319,,,,,,,,
,"1,76,21,589",,,,493,,,,,,,,
,"64,32,050",,,,343,,,,,,,,
,"57,07,508",,,,408,,,,,,,,
,"1,05,02,154",,,,950,,,,,,,,
,"3,51,76,644",,,,864,,,,,,,,
,"73,15,707",,,,509,,,,,,,,
,"93,53,544",,,,754,,,,,,,,
,"71,15,435",,,,791,,,,,,,,
,"47,03,311",,,,644,,,,,,,,
,"53,900",,,,843,,,,,,,,
,"1,09,58,243",,,,761,,,,,,,,
,"61,13,832",,,,344,,,,,,,,
,"1,37,50,802",,,,491,,,,,,,,
,"1,71,30,613",,,,295,,,,,,,,
,"74,76,897",,,,823,,,,,,,,
,"1,26,61,928",,,,"2,010",,,,,,,,
,"1,52,96,539",,,,755,,,,,,,,
,"2,13,38,024",,,,777,,,,,,,,
,"1,58,30,254",,,,774,,,,,,,,
,"1,61,22,474",,,,392,,,,,,,,
,"82,31,110",,,,310,,,,,,,,
,"82,85,712",,,,424,,,,,,,,
,"1,30,97,606",,,,783,,,,,,,,
,"1,42,18,703",,,,586,,,,,,,,
,"1,27,05,191",,,,706,,,,,,,,
,"1,70,40,925",,,,501,,,,,,,,
,"80,94,026",,,,721,,,,,,,,
,"98,17,898",,,,518,,,,,,,,
,"92,12,460",,,,568,,,,,,,,
,"1,06,97,852",,,,"1,015",,,,,,,,
,"1,15,23,025",,,,474,,,,,,,,
,"88,11,919",,,,455,,,,,,,,
,"59,72,713",,,,"1,280",,,,,,,,
,"1,43,08,995",,,,467,,,,,,,,
,"65,14,755",,,,470,,,,,,,,
,"91,21,306",,,,"1,365",,,,,,,,
,"2,34,66,919",,,,357,,,,,,,,
,"1,21,56,467",,,,"1,170",,,,,,,,
,"2,21,62,600",,,,"1,640",,,,,,,,
,"38,41,912",,,,528,,,,,,,,
,"1,96,39,778",,,,"1,070",,,,,,,,
,"1,11,88,300",,,,427,,,,,,,,
,"1,18,48,165",,,,"1,320",,,,,,,,
,"1,07,90,217",,,,839,,,,,,,,
,"1,88,99,819",,,,633,,,,,,,,
,"47,12,310",,,,483,,,,,,,,
,"81,81,947",,,,475,,,,,,,,
,"1,04,79,257",,,,695,,,,,,,,
,"2,86,96,438",,,,540,,,,,,,,
,"52,62,998",,,,459,,,,,,,,
,"1,12,64,627",,,,660,,,,,,,,
,"75,03,871",,,,438,,,,,,,,
,"74,81,507",,,,510,,,,,,,,
,"1,16,54,420",,,,556,,,,,,,,
,"55,17,574",,,,750,,,,,,,,
,"41,60,614",,,,364,,,,,,,,
,"75,67,622",,,,521,,,,,,,,
,"1,06,12,232",,,,472,,,,,,,,
,"1,76,17,430",,,,474,,,,,,,,
,"76,77,743",,,,409,,,,,,,,
,"1,26,12,086",,,,377,,,,,,,,
,"1,16,04,687",,,,635,,,,,,,,
,"69,17,998",,,,587,,,,,,,,
,"97,70,825",,,,496,,,,,,,,
,"1,53,39,335",,,,241,,,,,,,,
,"81,09,471",,,,644,,,,,,,,
,"1,11,74,890",,,,418,,,,,,,,
,"2,24,12,659",,,,696,,,,,,,,
,"75,34,500",,,,588,,,,,,,,
,"84,79,419",,,,850,,,,,,,,
,"1,20,95,387",,,,350,,,,,,,,
,"2,01,57,288",,,,345,,,,,,,,
,"70,44,190",,,,522,,,,,,,,
,"2,12,42,344",,,,871,,,,,,,,
,"1,52,95,927",,,,288,,,,,,,,
,"36,13,750",,,,220,,,,,,,,
,"54,74,420",,,,"1,590",,,,,,,,
,"1,29,24,048",,,,715,,,,,,,,
,"1,26,67,794",,,,351,,,,,,,,
,"1,38,42,000",,,,"1,421",,,,,,,,
,"76,33,378",,,,938,,,,,,,,
,"1,32,98,706",,,,476,,,,,,,,
,"1,25,01,674",,,,738,,,,,,,,
,"1,57,69,626",,,,408,,,,,,,,
,"74,31,328",,,,350,,,,,,,,
,"78,40,161",,,,710,,,,,,,,
,"68,73,229",,,,"1,406",,,,,,,,
,"2,22,79,922",,,,372,,,,,,,,
,"89,75,837",,,,533,,,,,,,,
,"1,32,07,855",,,,280,,,,,,,,
,"1,77,74,250",,,,30,,,,,,,,
,"93,35,059",,,,600,,,,,,,,
,"92,28,520",,,,502,,,,,,,,
,"85,92,309",,,,"1,134",,,,,,,,
,"1,68,99,827",,,,"1,056",,,,,,,,
,"70,61,902",,,,268,,,,,,,,
,"71,85,139",,,,"1,225",,,,,,,,
,"81,09,557",,,,898,,,,,,,,
,"1,47,92,630",,,,634,,,,,,,,
,"1,39,51,857",,,,960,,,,,,,,
,"4,14,46,984",,,,310,,,,,,,,
,"81,22,694",,,,"1,100",,,,,,,,
,"94,62,420",,,,390,,,,,,,,
,"1,61,88,524",,,,633,,,,,,,,
,"82,29,183",,,,933,,,,,,,,
,"1,06,53,108",,,,478,,,,,,,,
,"1,09,53,382",,,,802,,,,,,,,
,"1,46,22,655",,,,"1,325",,,,,,,,
,"45,26,866",,,,466,,,,,,,,
,"77,12,444",,,,964,,,,,,,,
,"1,09,80,848",,,,539,,,,,,,,
,"61,96,794",,,,678,,,,,,,,
,"69,05,306",,,,623,,,,,,,,
,"1,21,45,636",,,,871,,,,,,,,
,"85,71,528",,,,756,,,,,,,,
,"94,87,088",,,,361,,,,,,,,
,"69,64,433",,,,"1,042",,,,,,,,
,"55,70,114",,,,319,,,,,,,,
,"52,26,704",,,,"1,001",,,,,,,,
,"36,93,570",,,,277,,,,,,,,
,"1,23,90,637",,,,776,,,,,,,,
,"81,01,262",,,,639,,,,,,,,
,"85,47,643",,,,390,,,,,,,,
,"46,25,917",,,,542,,,,,,,,
,"1,28,32,208",,,,708,,,,,,,,
,"1,81,19,949",,,,695,,,,,,,,
,"1,22,22,700",,,,"1,159",,,,,,,,
,"72,40,097",,,,873,,,,,,,,
,"85,59,370",,,,464,,,,,,,,
,"2,63,22,638",,,,797,,,,,,,,
,"2,62,78,983",,,,802,,,,,,,,
,"46,25,769",,,,120,,,,,,,,
,"66,83,563",,,,918,,,,,,,,
,"1,42,26,400",,,,341,,,,,,,,
,"1,51,63,700",,,,450,,,,,,,,
,"75,69,601",,,,"2,687",,,,,,,,
,"1,41,55,071",,,,900,,,,,,,,
,"63,56,826",,,,640,,,,,,,,
,"1,17,34,655",,,,717,,,,,,,,
,"4,94,26,536",,,,672,,,,,,,,
,"74,04,550",,,,722,,,,,,,,
,"70,89,491",,,,733,,,,,,,,
,"64,89,340",,,,"1,215",,,,,,,,
